animal,images,scientific_names,common_names,statusLabel
http://www.wikidata.org/entity/Q726384,"http://commons.wikimedia.org/wiki/Special:FilePath/Carcharhinus%20melanopterus%20Luc%20Viatour.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Carcharhinus%20melanopterus%20mirihi.jpg",Carcharhinus melanopterus,"Blacktip reef shark, Blacktip Reef Shark",Vulnerable
http://www.wikidata.org/entity/Q726420,http://commons.wikimedia.org/wiki/Special:FilePath/Dalbe%20latif%20081228-4907%20H%20ipb.jpg,Dalbergia latifolia,"Indonesian Rosewood, Malabar Rosewood, Indian rosewood, Bombay Blackwood, Indian Rosewood",Vulnerable
http://www.wikidata.org/entity/Q726901,http://commons.wikimedia.org/wiki/Special:FilePath/Bombus%20pensylvanicus%20male%20on%20rough%20blazingstar%20Ellison%20Creek-7907.jpg,Bombus pensylvanicus,"American Bumblebee, Sonoran Bumblebee",Vulnerable
http://www.wikidata.org/entity/Q727433,"http://commons.wikimedia.org/wiki/Special:FilePath/Bothriechis%20aurifer%20%287%29.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Yellow-Blotched%20Palm-Pitviper.jpg",Bothriechis aurifer,"Yellow-blotched Palm Pit Viper, Yellow-blotched palm-pitviper",Vulnerable
http://www.wikidata.org/entity/Q728092,http://commons.wikimedia.org/wiki/Special:FilePath/Agapornis%20nigrigenis%20-London%20Zoo-8a.jpg,Agapornis nigrigenis,Black-cheeked Lovebird,Vulnerable
http://www.wikidata.org/entity/Q728643,"http://commons.wikimedia.org/wiki/Special:FilePath/CervusAlbirostris2.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/White-lipped%20deer%20at%20the%20Denver%20Zoo%20in%202006.jpg",Cervus albirostris,"Thorold's Deer, Thorold’s deer, White-lipped Deer",Vulnerable
http://www.wikidata.org/entity/Q730091,"http://commons.wikimedia.org/wiki/Special:FilePath/Apteryx%20haastii.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/ApteryxHaastiiKeulemans.jpg",Apteryx haastii,Great Spotted Kiwi,Vulnerable
http://www.wikidata.org/entity/Q730301,"http://commons.wikimedia.org/wiki/Special:FilePath/ColumbaTorringtoniLegge.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Flickr%20-%20Rainbirder%20-%20Sri%20Lanka%20Wood%20Pigeon%20%28Columba%20torringtoni%29.jpg",Columba torringtoniae,"Ceylon Wood-Pigeon, Sri Lanka wood pigeon, Sri Lanka Wood Pigeon, Sri Lanka Woodpigeon",Vulnerable
http://www.wikidata.org/entity/Q733777,http://commons.wikimedia.org/wiki/Special:FilePath/Lossy-page1-2929px-Perdix%20personata%20-%201820-1863%20-%20Print%20-%20Iconographia%20Zoologica%20-%20Special%20Collections%20University%20of%20Amsterdam%20-%20UBA01%20IZ17100109.png,Arborophila orientalis,Grey-breasted Partridge,Vulnerable
http://www.wikidata.org/entity/Q734211,http://commons.wikimedia.org/wiki/Special:FilePath/Yellow-eared%20Parrot.jpg,Ognorhynchus icterotis,"Yellow-eared Conure, Yellow-eared Parrot",Vulnerable
http://www.wikidata.org/entity/Q734829,http://commons.wikimedia.org/wiki/Special:FilePath/Apteryx%20mantelli%20-Rotorua%2C%20North%20Island%2C%20New%20Zealand-8a.jpg,Apteryx mantelli,"Brown kiwi, North Island brown kiwi, North Island Brown Kiwi, Northern Brown Kiwi",Vulnerable
http://www.wikidata.org/entity/Q736016,http://commons.wikimedia.org/wiki/Special:FilePath/Patagioenas%20caribaea%20-Cockpit%20Country%2C%20Jamaica-8.jpg,Patagioenas caribaea,Ring-tailed Pigeon,Vulnerable
http://www.wikidata.org/entity/Q737579,http://commons.wikimedia.org/wiki/Special:FilePath/Shortnose%20sturgeon%20at%20surface.jpg,Acipenser brevirostrum,"Shortnose sturgeon, Shortnose Sturgeon",Vulnerable
http://www.wikidata.org/entity/Q739571,"http://commons.wikimedia.org/wiki/Special:FilePath/Alouatta%20belzebul%20Tucurui%20PA%20Brazil.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Red-handed%20howler%20monkey%20%28Alouatta%20belzebul%29.jpg",Alouatta belzebul,"Red-handed Howling Monkey, Black and Red Howler, Red-handed Howler, Red-handed howler monkey, Red-handed Howler Monkey",Vulnerable
http://www.wikidata.org/entity/Q741289,http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20Mesite%20-%20Ranomafana%20-%20Madagascar%20MG%201281.jpg,Mesitornis unicolor,"Brown Mesite, Brown Roatelo",Vulnerable
http://www.wikidata.org/entity/Q741944,http://commons.wikimedia.org/wiki/Special:FilePath/Yaqui%20Slider%20imported%20from%20iNaturalist%20photo%20121650569%20on%2021%20April%202022.jpg,Trachemys yaquia,Yaqui Slider,Vulnerable
http://www.wikidata.org/entity/Q742535,http://commons.wikimedia.org/wiki/Special:FilePath/Dark-backed%20Wood-quail%20%28Odontophorus%20melanonotus%29%20%285198407854%29.jpg,Odontophorus melanonotus,"Dark-backed Wood Quail, Dark-backed Wood-quail, Dark-backed Wood-Quail",Vulnerable
http://www.wikidata.org/entity/Q743084,http://commons.wikimedia.org/wiki/Special:FilePath/Sik%2C%20Iduns%20kokbok.jpg,Coregonus lavaretus,"Lavaret, schelly",Vulnerable
http://www.wikidata.org/entity/Q744078,http://commons.wikimedia.org/wiki/Special:FilePath/Dorcatragus%20megalotis.jpg,Dorcatragus megalotis,"Beira, Beira Antelope, Beira Antilope",Vulnerable
http://www.wikidata.org/entity/Q744173,http://commons.wikimedia.org/wiki/Special:FilePath/Cuvier%27s%20Gazelle.jpg,Gazella cuvieri,"Cuvier's Gazelle, Cuvier’s gazelle, Cuvier’s Gazelle, Edmi",Vulnerable
http://www.wikidata.org/entity/Q744294,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrolagus%20ogilbyi.jpg,Hydrolagus ogilbyi,"Whitefish, Ogilby’s Ghostshark",Vulnerable
http://www.wikidata.org/entity/Q744382,"http://commons.wikimedia.org/wiki/Special:FilePath/Arctonyx%20collaris%20-%20Sterndale.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Arctonyx-collaris-hog-badger-2.jpg",Arctonyx collaris,"Hog badger, Greater Hog Badger, Hog Badger",Vulnerable
http://www.wikidata.org/entity/Q745526,http://commons.wikimedia.org/wiki/Special:FilePath/Bolitoglossa%20alvaradoi.jpg,Bolitoglossa alvaradoi,"Moravia de Chirripo salamander, Moravia de Chirripo Salamander",Vulnerable
http://www.wikidata.org/entity/Q745765,http://commons.wikimedia.org/wiki/Special:FilePath/Osteopilus%20crucialis%201888.jpg,Osteopilus crucialis,Jamaican Snoring Frog,Vulnerable
http://www.wikidata.org/entity/Q745958,http://commons.wikimedia.org/wiki/Special:FilePath/Rousettus%20madagascariensis%202.png,Rousettus madagascariensis,"Madagascan rousette, Madagascan Rousette, Madagascar Rousette, Malagasy Rousette",Vulnerable
http://www.wikidata.org/entity/Q747357,http://commons.wikimedia.org/wiki/Special:FilePath/Ornithoptera%20aesacus%20m.jpg,Ornithoptera aesacus,Obi Island Birdwing,Vulnerable
http://www.wikidata.org/entity/Q747469,http://commons.wikimedia.org/wiki/Special:FilePath/MicrasturPlumbeusGronvold.jpg,Micrastur plumbeus,"Plumbeous Forest Falcon, Plumbeous Forest-falcon, Plumbeous Forest-Falcon",Vulnerable
http://www.wikidata.org/entity/Q747627,http://commons.wikimedia.org/wiki/Special:FilePath/AmmodorcasClarkeiSmit.jpg,Ammodorcas clarkei,"Clarke's gazelle, Clarke's Gazelle, Clarke’s Gazelle, Dibatag",Vulnerable
http://www.wikidata.org/entity/Q747783,http://commons.wikimedia.org/wiki/Special:FilePath/Caspialosa%20kessleri%20pontica%20Dunai%20hering.jpg,Alosa immaculata,Black Sea shad,Vulnerable
http://www.wikidata.org/entity/Q747785,http://commons.wikimedia.org/wiki/Special:FilePath/Sooty%20Falcon%2C%20All%C3%A9e%20des%20Baobabs%20near%20Morondava%2C%20Madagascar.jpg,Falco concolor,Sooty Falcon,Vulnerable
http://www.wikidata.org/entity/Q748236,http://commons.wikimedia.org/wiki/Special:FilePath/Diomedea%20epomophora%20-%20SE%20Tasmania.jpg,Diomedea epomophora,"Royal Albatross, Southern royal albatross, Southern Royal Albatross",Vulnerable
http://www.wikidata.org/entity/Q748861,"http://commons.wikimedia.org/wiki/Special:FilePath/Callocephalon%20fimbriatum%20%28pair%29%20-NSW%20-Australia-8.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Callocephalon%20fimbriatum%20male%20-%20Callum%20Brae.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Gang-gang%20female%20MJC01.jpg",Callocephalon fimbriatum,Gang-gang Cockatoo,Vulnerable
http://www.wikidata.org/entity/Q751036,"http://commons.wikimedia.org/wiki/Special:FilePath/Hornbill%202.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Rangkong%20Badak%20%28Buceros%20rhinoceros%29.jpg",Buceros rhinoceros,Rhinoceros Hornbill,Vulnerable
http://www.wikidata.org/entity/Q751258,http://commons.wikimedia.org/wiki/Special:FilePath/Nebrius%20ferrugineus.jpg,Nebrius ferrugineus,"Tawny nurse shark, Tawny Nurse Shark",Vulnerable
http://www.wikidata.org/entity/Q752178,http://commons.wikimedia.org/wiki/Special:FilePath/Umbra%20krameri%20L%C3%A1pi%20p%C3%B3c.jpg,Umbra krameri,"European Mud-minnow, European mudminnow, European Mudminnow",Vulnerable
http://www.wikidata.org/entity/Q753758,http://commons.wikimedia.org/wiki/Special:FilePath/SnaresPenguin%20%28Mattern%29%20large.jpg,Eudyptes robustus,"Snares Crested Penguin, Snares Islands Penguin, Snares Penguin",Vulnerable
http://www.wikidata.org/entity/Q753760,"http://commons.wikimedia.org/wiki/Special:FilePath/Calidris%20acuminata%20P4278959.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Calidris%20acuminata%20-%20Hexham%20Swamp.jpg",Calidris acuminata,Sharp-tailed Sandpiper,Vulnerable
http://www.wikidata.org/entity/Q754028,"http://commons.wikimedia.org/wiki/Special:FilePath/Pelodiscus.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/8%20pazdziernika%202005%20gliwice%20062.jpg",Pelodiscus sinensis,"Chinese softshell turtle, Chinese Softshell Turtle",Vulnerable
http://www.wikidata.org/entity/Q754050,http://commons.wikimedia.org/wiki/Special:FilePath/Vakorejsek%20ctyrprsty.jpg,Dasyuroides byrnei,Kowari,Vulnerable
http://www.wikidata.org/entity/Q754182,http://commons.wikimedia.org/wiki/Special:FilePath/Testudo%20horsfieldii%3B%20Baikonur%20001.jpg,Testudo horsfieldii,"Afghan tortoise, Afghan Tortoise, Central Asian Tortoise, Four-toed Tortoise, Horsfield's Tortoise, Steppe Tortoise",Vulnerable
http://www.wikidata.org/entity/Q754737,"http://commons.wikimedia.org/wiki/Special:FilePath/2006-kabini-otter.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Smooth-coated%20Otter%20%28Lutrogale%20perspicillata%29.jpg",Lutrogale perspicillata,"Indian Smooth-coated Otter, Smooth-coated otter, Smooth-coated Otter",Vulnerable
http://www.wikidata.org/entity/Q755719,http://commons.wikimedia.org/wiki/Special:FilePath/Priodontes%20maximus%20at%20R%C3%A9gina.jpg,Priodontes maximus,"Giant armadillo, Giant Armadillo",Vulnerable
http://www.wikidata.org/entity/Q756073,http://commons.wikimedia.org/wiki/Special:FilePath/Tayassu%20pecari%20205920788.jpg,Tayassu pecari,"white-lipped peccary, White-lipped peccary, White-lipped Peccary",Vulnerable
http://www.wikidata.org/entity/Q756108,"http://commons.wikimedia.org/wiki/Special:FilePath/GreaterNoctule.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/Nyctalus%20lasiopterus01.png",Nyctalus lasiopterus,"Giant noctule, Giant Noctule, greater noctule, Greater Noctule Bat",Vulnerable
http://www.wikidata.org/entity/Q756674,"http://commons.wikimedia.org/wiki/Special:FilePath/Anthropoides%20paradiseus%20-Etosha%20National%20Park%2C%20Namibia-8.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Blue%20Crane%20South%20Africa.jpg",Anthropoides paradiseus,"Stanley Crane, Blue Crane, Blue crane",Vulnerable
http://www.wikidata.org/entity/Q756714,"http://commons.wikimedia.org/wiki/Special:FilePath/Gallirallus%20australis%202.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Gallirallus%20australis%20LC0248.jpg",Gallirallus australis,Weka,Vulnerable
http://www.wikidata.org/entity/Q756859,"http://commons.wikimedia.org/wiki/Special:FilePath/Nurse%20shark.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Ginglymostoma%20cirratum%20%28tibur%C3%B3n%20gata%29%2002.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Grey%20nurse%20shark%202.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Saddleback%20NurseShark.JPG",Ginglymostoma cirratum,"Nurse Shark, Nurse shark",Vulnerable
http://www.wikidata.org/entity/Q756969,"http://commons.wikimedia.org/wiki/Special:FilePath/Atlantic%20sturgeon.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20oxyrhynchus%20oxyrinchus.jpg",Acipenser oxyrinchus,"Atlantic sturgeon, Atlantic Sturgeon, Gulf sturgeon",Vulnerable
http://www.wikidata.org/entity/Q756975,"http://commons.wikimedia.org/wiki/Special:FilePath/Megalops%20atlanticus.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Megalops%20atlanticus%20by%20DaijuAzuma.jpg",Megalops atlanticus,Tarpon,Vulnerable
http://www.wikidata.org/entity/Q757356,http://commons.wikimedia.org/wiki/Special:FilePath/Sita-Ashok%20%28Saraca%20asoca%29%20flowers%20in%20Kolkata%20W%20IMG%204146.jpg,Saraca asoca,Ashoka tree,Vulnerable
http://www.wikidata.org/entity/Q758663,http://commons.wikimedia.org/wiki/Special:FilePath/Lewinia%20muelleri.jpg,Lewinia muelleri,"Auckland Island rail, Auckland Islands rail, Auckland Rail",Vulnerable
http://www.wikidata.org/entity/Q760455,http://commons.wikimedia.org/wiki/Special:FilePath/Andaman%20Serpent-eagle%20%28Spilornis%20elgini%29%20low%20res.jpg,Spilornis elgini,"Andaman Serpent Eagle, Andaman Serpent-eagle, Andaman Serpent-Eagle, Dark Serpent-eagle",Vulnerable
http://www.wikidata.org/entity/Q763116,http://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20night%20heron%20%28Gorsachius%20goisagi%29.jpg,Gorsachius goisagi,"Japanese Night Heron, Japanese Night-heron, Japanese Night-Heron",Vulnerable
http://www.wikidata.org/entity/Q763130,"http://commons.wikimedia.org/wiki/Special:FilePath/Rollulus%20rouloul%20-Toronto%20Zoo%2C%20Canada%20-male-8a.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Crested%20Wood%20Partridge%20%28Rollulus%20rouloul%29%2C%20male%20and%20female.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Rollulus%20rouloul%20-Tennessee%20Aquarium%2C%20Chattanooga%2C%20Tennessee%2C%20USA%20-female-8a.jpg",Rollulus rouloul,Crested Partridge,Vulnerable
http://www.wikidata.org/entity/Q766605,http://commons.wikimedia.org/wiki/Special:FilePath/Bulwer%27s%20Pheasant%20%28Lophura%20bulweri%29%2C%20Sabah%2C%20Malaysia%201.jpg,Lophura bulweri,"Bulwer's Pheasant, White-tailed Wattled Pheasant",Vulnerable
http://www.wikidata.org/entity/Q766654,http://commons.wikimedia.org/wiki/Special:FilePath/Bornean%20Wren-%20%28or%20Ground-%29%20Babbler%20%2813997632799%29%20%28cropped%29.jpg,Ptilocichla leucogrammica,Bornean Wren-Babbler,Vulnerable
http://www.wikidata.org/entity/Q767088,http://commons.wikimedia.org/wiki/Special:FilePath/Barite%20chauve.JPG,Pityriasis gymnocephala,Bornean Bristlehead,Vulnerable
http://www.wikidata.org/entity/Q767101,http://commons.wikimedia.org/wiki/Special:FilePath/Aramidopsis%20plateni%201898.jpg,Aramidopsis plateni,"Platen's Rail, Snoring Rail",Vulnerable
http://www.wikidata.org/entity/Q767354,"http://commons.wikimedia.org/wiki/Special:FilePath/NorthernHelmetedCurassow02.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Stavenn%20Pauxi%20pauxi%2000.jpg",Pauxi pauxi,"Helmeted Curassow, Northern helmeted curassow, Northern Helmeted Curassow",Vulnerable
http://www.wikidata.org/entity/Q768358,http://commons.wikimedia.org/wiki/Special:FilePath/Brachypterolle.ecaille.jpg,Geobiastes squamiger,"Scaled Ground Roller, Scaled Ground-roller, Scaly Ground Roller, Scaly Ground-roller, Scaly Ground-Roller",Vulnerable
http://www.wikidata.org/entity/Q770045,http://commons.wikimedia.org/wiki/Special:FilePath/Dolloff%20Cave%20Spider.jpg,Meta dolloff,"Dolloff cave spider, Dolloff Cave Spider",Vulnerable
http://www.wikidata.org/entity/Q771595,http://commons.wikimedia.org/wiki/Special:FilePath/Ghatophryne%20rubigina%203.jpg,Ghatophryne rubigina,"Kerala Stream Toad, Red Stream Toad, Silent Valley Torrent Toad",Vulnerable
http://www.wikidata.org/entity/Q772052,"http://commons.wikimedia.org/wiki/Special:FilePath/Anthocephala%20floriceps.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Marta%20Blossomcrown%20iNaturalist%20%28cropped%29.jpg",Anthocephala floriceps,"Blossomcrown, Santa Marta Blossomcrown",Vulnerable
http://www.wikidata.org/entity/Q772335,http://commons.wikimedia.org/wiki/Special:FilePath/Bufo%20eichwaldi.jpeg,Bufo eichwaldi,"Eichwald's Toad, Talysh Toad",Vulnerable
http://www.wikidata.org/entity/Q775300,http://commons.wikimedia.org/wiki/Special:FilePath/Guaruba%20guarouba%20-Gramado%20Zoo%2C%20Brazil-8a.jpg,Guaruba guarouba,"Golden Conure, Golden Parakeet",Vulnerable
http://www.wikidata.org/entity/Q775394,"http://commons.wikimedia.org/wiki/Special:FilePath/Adult%20Hispaniolan%20Golden%20Swallow%20perched%20on%20artificial%20nest-box.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Tachycineta%20euchrysea%201894.jpg",Tachycineta euchrysea,Golden Swallow,Vulnerable
http://www.wikidata.org/entity/Q775636,http://commons.wikimedia.org/wiki/Special:FilePath/Pionites%20leucogaster%20-%20White-bellied%20Parrot%3B%20Rio%20Branco%2C%20Acre%2C%20Brazil.jpg,Pionites leucogaster,White-bellied Parrot,Vulnerable
http://www.wikidata.org/entity/Q777724,http://commons.wikimedia.org/wiki/Special:FilePath/CentropusChlororhynchusLegge.jpg,Centropus chlororhynchos,Green-billed Coucal,Vulnerable
http://www.wikidata.org/entity/Q777869,http://commons.wikimedia.org/wiki/Special:FilePath/Procolobus%20verus.jpg,Procolobus verus,"Olive colobus, Olive Colobus, Van Beneden's Colobus, Van Beneden’s Colobus",Vulnerable
